original,translated,fuel,machine,others,part,price,service,clean_sentence
fortuner sparepart nya susah dicari,fortuner sparepartipun   sisah dipunpadosi,neutral,neutral,neutral,negative,neutral,neutral,fortuner sparepartipun sisah dipunpadosi
"yang saya suka dari avanza itu volume nya yang besar, anak-anak bisa bebas bersantai di dalam mobil","ingkang kula remen saking avanza puniku volumenipun  ingkang ageng, lare-lare saged bebas bersantai ing lebeting mobil",neutral,neutral,neutral,positive,neutral,neutral,ingkang kula remen saking avanza pun volumenipun ingkang ageng larelare saged bebas santa ing lebeting mobil
"saya punya xenia Li 08 family , sepanjang pemakaian nya belum ada keluhan sih .","kula gadhah xenia li 08 family , sepanjang panganggenanipun dereng wonten keluhan sih .",neutral,neutral,positive,neutral,neutral,neutral,kula gadhah xenia li family panjang panganggenanipun dereng wonten keluh sih
"Langsung kagum bgt dengan kenyamanan nya , mulai dari kedap nya kabin , bantingan suspensi dll","langsung kagum bgt kaliyan kenyamananipun   , wiwit saking kedapipun   kabin , bantingan suspensi dll",neutral,neutral,positive,positive,neutral,neutral,langsung kagum bgt kaliyan kenyamananipun wiwit saking kedap kabin banting suspensi dll
"fortuner gimana yah ... tenaga biasa aja , kalo pajero sport tenaga gak malu - maluin","fortuner kados pundi yah ... tenaga limrah mawon , menawi pajero sport tenaga mboten lingsem lingsemaken",neutral,positive,neutral,neutral,neutral,neutral,fortuner kados pundi yah tenaga limrah mawon menawi pajero sport tenaga mboten lingsem lingsemaken
"12 cup holders kok kesan nya ga berfaedah buat mobil seven seater , nama nya aja seven seater ngapain sampe 12 wikwikwik , mendingan legain kabin drpd banyakin cup holder","12 cup holders koh kesanipun   mboten berfaedah damel mobil seven seater , naminipun mawon seven seater napa dumugi 12 wikwikwik , mendingan legain kabin drpd banyakin cup holder",neutral,neutral,neutral,negative,neutral,neutral,cup holders koh kesan mboten faedah damel mobil seven seater naminipun mawon seven seater napa dumugi wikwikwik mending legain kabin drpd banyakin cup holder
Honda Brio punya setir yang presisi dan tegak seperti 86 begitu pun jok sporty - nya ala racing .,honda brio gadhah setir ingkang presisi lan jejeg kados   86 kados puniku nggih jok sporty ipun    ala racing .,neutral,neutral,neutral,positive,neutral,neutral,honda brio gadhah setir ingkang presisi lan jejeg kados kados pun nggih jok sporty ipun ala racing
"menyesal beli agya, tarikan lambat kalau dipakai rame-rame gak kuat","getun    tumbas agya, tarikan alon   menawi dipunangge rame-rame mboten kiyat",neutral,negative,neutral,neutral,neutral,neutral,getun tumbas agya tari alon menawi dipunangge ramerame mboten kiyat
Kalo soal overall si jelas banget pajero lebih menang ketimbang fortuner,menawi soal overall si kantenan sanget pajero langkung menang katimbang fortuner,neutral,neutral,negative,neutral,neutral,neutral,menawi soal overall si kantenan sanget pajero langkung menang katimbang fortuner
alasan nya harga fortuner di bawah harga pajero,alesanipun   regi  fortuner ing ngandhap regi  pajero,neutral,neutral,neutral,neutral,negative,neutral,alesanipun regi fortuner ing ngandhap regi pajero
Salah satu yang paling saya suka dari merek Honda ini adalah ultra seat,salah setunggal ingkang paling kula remen saking merek honda puniki inggih punika ultra seat,neutral,neutral,neutral,positive,neutral,neutral,salah tunggal ingkang paling kula remen saking merek honda puniki inggih punika ultra seat
semakin cantik saja nih avanza juragan,saya    elok   mawon niki avanza juragan,neutral,neutral,positive,neutral,neutral,neutral,saya elok mawon nik avanza juragan
"Mobil ini gue akui paling pas untuk kerja dengan mobilitas tinggi , gede nggak , kecil juga nggak , masuk2 kampung gang kecil tanjakan terjal lincah , dan yg paling penting penggerak roda belakang cocok buat segala medan","mobil puniki kula akeni paling pas kangge nyambut damel kaliyan mobilitas inggil , gede mboten , alit  ugi  mboten , mlebet2 kampung gang alit  inggah-inggah terjal lincah , lan ingkang paling wigatos penggerak roda wingking cocok damel sedaya medan",neutral,positive,neutral,positive,neutral,neutral,mobil puniki kula akeni paling pas kangge nyambut damel kaliyan mobilitas inggil gede mboten alit ugi mboten mlebet kampung gang alit inggahinggah terjal lincah lan ingkang paling wigatos gerak roda wingking cocok damel daya medan
"Ignis Worth it mas dengan harga terendah 139,5 juta .","ignis worth it mas kaliyan regi  paling andhap 139,5 yuta .",neutral,neutral,neutral,neutral,positive,neutral,ignis worth it mas kaliyan regi paling andhap yuta
"Beli beat fi buat harian , Tarikan nya nyaman , irit banget kalau dibuat kuliah . Harga oke .","tumbas beat fi damel dintenan , tarikanipun   nyaman , irit sanget menawi dipundamel kuliah . regi  oke .",positive,positive,neutral,neutral,positive,neutral,tumbas beat fi damel dintenan tarikanipun nyaman irit sanget menawi dipundamel kuliah regi oke
Wuling confero S 1.5 L Lux+ ke jawa timur park 3 terasa kenyamanan mobil ini tidak limbung .,wuling confero s 1.5 l lux+ dhateng jawi wetan park 3 kraos  kenyamanan mobil puniki mboten limbung .,neutral,neutral,positive,neutral,neutral,neutral,wuling confero s l lux dhateng jawi wetan park kraos nyaman mobil puniki mboten limbung
"keren juga xpander , serasa mobil masa depan","keren ugi  xpander , kraos  mobil masa ngajeng",neutral,neutral,positive,neutral,neutral,neutral,keren ugi xpander kraos mobil masa ngajeng
"konsumsi bbm HRV juga irit banget bisa sampe 13,5 km / l","konsumsi bbm hrv ugi  irit sanget saged dumugi 13,5 km / l",positive,neutral,neutral,neutral,neutral,neutral,konsumsi bbm hrv ugi irit sanget saged dumugi km l
kelebihan Avanza yang membuat saya jatuh hati sama avanza adalah penggunaan sistem penggerak roda belakang atau rear wheel drive .,kalangkungan avanza ingkang ndamel  kula dhawah manah sami avanza inggih punika panganggenan sistem penggerak roda wingking utawi rear wheel drive .,neutral,neutral,neutral,positive,neutral,neutral,kalangkungan avanza ingkang ndamel kula dhawah manah sami avanza inggih punika panganggenan sistem gerak roda wingking utawi rear wheel drive
Hadeh toyota prado segala rusak . Emang kata abang gue perawatan mobil matic itu susah,hadeh toyota prado sedaya risak . estu  tembung abang kula perawatan mobil matic puniku sisah,neutral,neutral,neutral,neutral,neutral,negative,hadeh toyota prado daya risak estu tembung abang kula awat mobil matic pun sisah
"lebih nyaman All New Avanza , lebih gesit . akselerasi lebih baik .","langkung nyaman all new avanza , langkung gesit . akselerasi langkung sae .",neutral,positive,neutral,neutral,neutral,neutral,langkung nyaman all new avanza langkung gesit akselerasi langkung sae
Toyota Rush cocok untuk segala musim berjiwa petualang .,toyota rush cocok kangge sedaya mangsa berjiwa petualang .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush cocok kangge daya mangsa jiwa tualang
"saya pengguna xpander , saya coba di tanjakan-tanjakan dieng dengan penumpang 6 orang dewasa , oke-oke saja kok . Dan memang mantap ini mobil","kula pangangge xpander , kula cobi ing tanjakan-tanjakan dieng kaliyan penumpang 6 tiyang sampun umur , oke-oke mawon koh . lan estu   mantep puniki mobil",neutral,neutral,positive,neutral,neutral,neutral,kula pangangge xpander kula cobi ing tanjakantanjakan dieng kaliyan tumpang tiyang sampun umur okeoke mawon koh lan estu mantep puniki mobil
memang bagus sih brio pantas laku keras,estu   sae   sih brio patut  pajeng  atos|sora,neutral,neutral,positive,neutral,neutral,neutral,estu sae sih brio patut pajeng atossora
"@iip_bados05 bengkel resmi toyota , honda , daihatsu itu standart nya lebih bagus dari bengkel biasa mas , so astrido punya toyota .","@iip_bados05 bengkel resmi toyota , honda , daihatsu puniku standartipun   langkung sae   saking bengkel limrah mas , so astrido gadhah toyota .",neutral,neutral,neutral,neutral,neutral,positive,iipbados bengkel resmi toyota honda daihatsu pun standartipun langkung sae saking bengkel limrah mas so astrido gadhah toyota
"kalau mengutamakan desain sih ya mending brio saja, tapi kalau dari segi tenaga masih kurang","menawi ngutamikaken desain sih nggih mending brio mawon, nanging menawi saking segi tenaga taksih kirang",neutral,negative,neutral,positive,neutral,neutral,menawi ngutamikaken desain sih nggih mending brio mawon nanging menawi saking segi tenaga taksih kirang
brio mobil nya jelek banget gak bagus .,brio mobilipun   awon  sanget mboten sae   .,neutral,neutral,negative,neutral,neutral,neutral,brio mobil awon sanget mboten sae
fortuner gaya nya stylish banget cocok buat kamu yang hobi main instagram,fortuner gayanipun  stylish sanget cocok kangge sampeyan ingkang hobi dolan instagram,neutral,neutral,neutral,positive,neutral,neutral,fortuner gayanipun stylish sanget cocok kangge sampeyan ingkang hobi dolan instagram
"Naik honda beat , saya yang 180 cm berasa abang-abang naik troli bayi .","minggah honda beat , kula ingkang 180 cm kraos  abang-abang minggah troli bayi .",neutral,neutral,negative,neutral,neutral,neutral,minggah honda beat kula ingkang cm kraos abangabang minggah troli bayi
kelemahan avanza power nya suka turun kalo sudah panas,kelemahan avanza poweripun   remen mandhap menawi sampun benter,neutral,negative,neutral,neutral,neutral,neutral,lemah avanza poweripun remen mandhap menawi sampun benter
"kemarin gue dapat grab pakai xpander exceed , ternyata jauh lebih nyaman .","kala-wingi kula angsal grab angge xpander exceed , kasunyatanipun tebih langkung nyaman .",neutral,neutral,positive,neutral,neutral,neutral,kalawingi kula angsal grab angge xpander exceed kasunyatanipun tebih langkung nyaman
"pakai hr - v 1.8 merasakan juga kalau mobil ini kabin nya luas , interior nya bagus .","angge hr -v 1.8 ngraosaken ugi  menawi mobil puniki kabinipun   wiyar , interioripun   sae   .",neutral,neutral,neutral,positive,neutral,neutral,angge hr v ngraosaken ugi menawi mobil puniki kabin wiyar interior sae
"Harga yang murah , tapi mesin Avanza bagus juga .","regi  ingkang mirah , nanging mesin avanza sae   ugi  .",neutral,positive,neutral,neutral,positive,neutral,regi ingkang mirah nanging mesin avanza sae ugi
Harga nya honda brio rs sayang terlalu mahal menurut saya pribadi .,reginipun   honda brio rs sayang sanget-sanget awis  midherek kula pribadi .,neutral,neutral,neutral,neutral,negative,neutral,reginipun honda brio rs sayang sangetsanget awis midherek kula pribadi
"Kualitas produk , teknologi , hingga suku cadang yang terjamin juga menjadi aspek yang memengaruhi daya tarik Avanza ini juragan","kwalitet produk , teknologi , ngantos suku    cadang ingkang terjamin ugi  dados   aspek ingkang mengaruhi   daya tarik avanza puniki juragan",neutral,neutral,positive,positive,neutral,neutral,kwalitet produk teknologi ngantos suku cadang ingkang jamin ugi dados aspek ingkang mengaruhi daya tarik avanza puniki juragan
"kalau ada budget lebih pilih Xi saja , tarikan lebih enak dan bertenaga ,","menawi wonten budget langkung pilih xi mawon , tarikan langkung eca  lan bertenaga ,",neutral,positive,neutral,neutral,neutral,neutral,menawi wonten budget langkung pilih xi mawon tari langkung eca lan tenaga
Avanza sangat mendukung profesi yang saya jalani karena bagi seorang mahasiswa seperti saya .,avanza nyengkuyung sanget profesi ingkang kula lampahi amargi kangge setunggaling tiyang mahasiswa kados   kula .,neutral,neutral,positive,neutral,neutral,neutral,avanza nyengkuyung sanget profesi ingkang kula lampahi amargi kangge setunggaling tiyang mahasiswa kados kula
karakter mesin livina kencang di high rpm atau jarak jauh .,karakter mesin livina kenceng ing high rpm utawi jarak tebih .,neutral,positive,neutral,neutral,neutral,neutral,karakter mesin livina kenceng ing high rpm utawi jarak tebih
Avanza keren banget ini mobil . daya tahan mesin nya enggak diragukan . di tanjakan enggak memalukan .,avanza keren sanget puniki mobil . daya tahan mesinipun   mboten dipunragukaken . ing inggah-inggah mboten nglingsemaken .,neutral,positive,positive,neutral,neutral,neutral,avanza keren sanget puniki mobil daya tahan mesin mboten dipunragukaken ing inggahinggah mboten nglingsemaken
"2018 awal mencoba altis gen 11 facelift , rasanya ini mobil makin-makin irit saja .","2018 awal nyobi   altis gen 11 facelift , raosipun   puniki mobil makin-makin irit mawon .",positive,neutral,neutral,neutral,neutral,neutral,awal nyobi altis gen facelift raosipun puniki mobil makinmakin irit mawon
"Lawak banget ini ahass honda , cuma setengah hari , ini baru jam 10 , udah gak nerima servis motor lagi ,","lawak sanget puniki ahass honda , naming sapalih  dinten , puniki nembe tabuh 10 , empun mboten nerima servis motor malih ,",neutral,neutral,neutral,neutral,neutral,negative,lawak sanget puniki ahass honda naming sapalih dinten puniki nembe tabuh empun mboten nerima servis motor malih
Rush 2018 varian G AT irit bahan bakar .,rush 2018 varian g at irit bahan besmi .,positive,neutral,neutral,neutral,neutral,neutral,rush varian g at irit bahan besmi
"Bingung kalo di bengkel takut nya jelek , kalau servis di honda mahal",bingung menawi ing bengkel ajrihipun awon menawi servis ing honda awis,neutral,neutral,neutral,neutral,neutral,negative,bingung menawi ing bengkel ajrihipun awon menawi servis ing honda awis
brio punya fitur keamanan tingkat tinggi yang enggak dimiliki 86 yaitu speed limiter di 145 km / h,brio gadhah fitur keamanan tingkat inggil ingkang mboten dipun-gadhahi 86 inggih punika speed limiter ing 145 km / h,neutral,neutral,neutral,positive,neutral,neutral,brio gadhah fitur aman tingkat inggil ingkang mboten dipungadhahi inggih punika speed limiter ing km h
Lama banget kerja nya teknisi honda !! Masa iya udah 20 antrean belom disentuh-sentuh motor ku ? Dari jam 10 woi ! Emang kalo servis itu bagus yamaha !,lami sanget nyambut damelipun teknisi honda !! napa nggih empun 20 antrean dereng disentuh-sentuh motor kula ? saking tabuh 10 woi ! estu menawi servis puniku sae yamaha !,neutral,neutral,neutral,neutral,neutral,positive,lam sanget nyambut damelipun teknisi honda napa nggih empun antre dereng disentuhsentuh motor kula saking tabuh woi estu menawi servis pun sae yamaha
"Tenaga emang ok , tapi desain pajero kayak banci ... kurang gagah model pajero",tenaga estu ok nanging desain pajero kados banci ... kirang gagah model pajero,neutral,positive,neutral,negative,neutral,neutral,tenaga estu ok nanging desain pajero kados banci kirang gagah model pajero
inden fortuner cepat sekali datangnya cukup 1 bulan saja,inden fortuner enggal sanget duginipun cekap 1 sasi mawon,neutral,neutral,neutral,neutral,neutral,positive,inden fortuner enggal sanget duginipun cekap sasi mawon
"bebek & xenia sama-sama irit juragan , pokok nya Xenia nih",kambangan & xenia sami-sami irit juragan pokokipun xenia niki,positive,neutral,neutral,neutral,neutral,neutral,kambang xenia samisami irit juragan pokok xenia nik
Punya beat injeksi irit nya minta ampun dipakai buat kencang juga oke tetapi setir kadang goyang-goyang kayak ban kempes,gadhah beat injeksi iritipun nedha ampun dipunangge damel kenceng ugi oke nanging setir kadhang goyang-goyang kados ban kempes,positive,neutral,neutral,negative,neutral,neutral,gadhah beat injeksi irit nedha ampun dipunangge damel kenceng ugi oke nanging setir kadhang goyanggoyang kados ban kempes
saya setuju vario jauh lebih enak dibanding mio,kula purun vario tebih langkung eca dipunbanding mio,neutral,neutral,negative,neutral,neutral,neutral,kula purun vario tebih langkung eca dipunbanding mio
baru beberapa bulan pakai nmax kok sudah bosan ya .,enggal pinten-pinten sasi angge nmax koh sampun bosan nggih .,neutral,neutral,negative,neutral,neutral,neutral,enggal pintenpinten sasi angge nmax koh sampun bosan nggih
"MOBIL ku xenia 1,3 cc puas banget pakai nya .",mobil kula xenia 13 cc marem sanget pakainipun .,neutral,neutral,positive,neutral,neutral,neutral,mobil kula xenia cc marem sanget pakainipun
vario pokoknya lebih bagus daripada mio dalam segala hal,vario pokokipun langkung sae daripada mio lebet sedaya bab,neutral,neutral,negative,neutral,neutral,neutral,vario pokok langkung sae daripada mio lebet daya bab
Xenia kata nya sih lebih irit dan jangan lupa pajak mobil ditentukan juga oleh CC kendaraan,xenia tembungipun sih langkung irit lan sampun kesupen paos mobil dipuntemtukaken ugi dening cc kendaraan,positive,neutral,neutral,neutral,neutral,neutral,xenia tembung sih langkung irit lan sampun kesupen paos mobil dipuntemtukaken ugi dening cc kendara
fun to drive memang honda brio masih lebih fun dari sirion,fun to drive estu honda brio taksih langkung fun saking sirion,neutral,neutral,negative,neutral,neutral,neutral,fun to drive estu honda brio taksih langkung fun saking sirion
saya sebener nya juga pengen punya mobil rush dengan desain yang sporty,kula saleresipun ugi kajeng gadhah mobil rush kaliyan desain ingkang sporty,neutral,neutral,neutral,positive,neutral,neutral,kula saleresipun ugi kajeng gadhah mobil rush kaliyan desain ingkang sporty
"Bengkel Honda 0001 , ga rekomendasi !! Jelek",bengkel honda 0001 mboten rekomendasi !! Awon,neutral,neutral,neutral,neutral,neutral,negative,bengkel honda mboten rekomendasi awon
kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal,kijang innova pokokipun juwara mobil mewah nanging reginipun mboten awis,neutral,neutral,positive,neutral,positive,neutral,kijang innova pokok juwara mobil mewah nanging reginipun mboten awis
"Honda Vario 125 2018 sangat nyaman dipakai ya , buat menyalip juga enak , mesin nya halus dibandingkan dengan vario lama",honda vario 125 2018 nyaman sanget dipunangge nggih damel menyalip ugi eca mesinipun lembat dipunbandingaken kaliyan vario lami,neutral,positive,positive,neutral,neutral,neutral,honda vario nyaman sanget dipunangge nggih damel salip ugi eca mesin lembat dipunbandingaken kaliyan vario lam
"Sudah bensin nya irit , mesin nya bandel . perjalanan semakin lancar . harga jual tidak jatuh , dibanding dengan merek yang lain .",sampun bensinipun irit mesinipun bandel .perjalanan saya lancar . regi sade mboten dhawah dipunbanding kaliyan merek ingkang sanes .,positive,positive,neutral,neutral,positive,neutral,sampun bensin irit mesin bandel jalan saya lancar regi sade mboten dhawah dipunbanding kaliyan merek ingkang sanes
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget",pangraosan liat ing ratan veloz puniki padahal enggal nanging liatipun limrah mawon nggih kirang greget,neutral,neutral,negative,neutral,neutral,neutral,pangraosan liat ing rat veloz puniki padahal enggal nanging liat limrah mawon nggih kirang greget
"Saya pakai grand livina dari 2008 , km udah hampir 400 ribu . Masih nyaman-nyaman saja , dan irit .",kula angge grand livina saking 2008 km empun meh 400 ewu . taksih nyaman-nyaman mawon lan irit .,positive,neutral,positive,neutral,neutral,neutral,kula angge grand livina saking km empun meh ewu taksih nyamannyaman mawon lan irit
"nih mobil mantap , diajak mengejar innova masih sanggup . cuma bodi nya saja nih , kurang rigid . kalau dibawa lari di tol melayang .",niki mobil mantep dipun-ajak mbujeng innova taksih sagah . naming bodinipun mawon niki kirang kaken . menawi dipunbekta plajeng ing tol melayang .,neutral,neutral,positive,negative,neutral,neutral,nik mobil mantep dipunajak mbujeng innova taksih sagah naming bodinipun mawon nik kirang kaken menawi dipunbekta plajeng ing tol layang
Tetep kalah telak sama pajero sport,tetep kawon telak sami pajero sport,neutral,neutral,positive,neutral,neutral,neutral,tetep kawon telak sami pajero sport
Harga murah adalah salah satu kelebihan Toyota Calya,regi mirah inggih punika salah setunggal kalangkungan toyota calya,neutral,neutral,neutral,neutral,positive,neutral,regi mirah inggih punika salah tunggal kalangkungan toyota calya
Rush merupakan SUV menengah yang sangat menarik,rush inggih punika suv menengah ingkang menarik sanget,neutral,neutral,positive,neutral,neutral,neutral,rush inggih punika suv tengah ingkang tarik sanget
"Isuzu Panther Grand Touring Tahun 2009 . Mobil tangguh dengan mesin diesel yang irit dan bandel , harga nya cuma 167 Jutaan juragan .",isuzu panther grand touring warsa 2009 . mobil tanggen kaliyan mesin diesel ingkang irit lan bandel reginipun naming 167 jutaan juragan .,positive,positive,neutral,neutral,positive,neutral,isuzu panther grand touring warsa mobil tanggen kaliyan mesin diesel ingkang irit lan bandel reginipun naming juta juragan
satu hal yang mungkin dirasa kurang dari xenia ialah dengan beban penuh kapasitas tenaga mobil dirasa kurang maksimal,sa bab ingkang mungkin dipunraos kirang saking xenia inggih punika kaliyan beban kebak kapasitas tenaga mobil dipunraos kirang maksimal,neutral,negative,neutral,neutral,neutral,neutral,sa bab ingkang mungkin dipunraos kirang saking xenia inggih punika kaliyan beban bak kapasitas tenaga mobil dipunraos kirang maksimal
scoopy tidak cocok untuk mahasiswa,scoopy mboten cocok kangge mahasiswa,neutral,neutral,negative,neutral,neutral,neutral,scoopy mboten cocok kangge mahasiswa
mantab review nya ... bener sih kalo masalah handling ga diragukan lagi .. membuat brio fun to drive,mantab reviewipun ... leres sih menawi masalah handling mboten dipunragukaken malih .. ndamel brio fun to drive,neutral,neutral,positive,positive,neutral,neutral,mantab reviewipun les sih menawi masalah handling mboten dipunragukaken malih ndamel brio fun to drive
"mobil toyota avanza mobil yang murah , tetap tidak murahan .",mobil toyota avanza mobil ingkang mirah tetep mboten mirahan .,neutral,neutral,neutral,neutral,positive,neutral,mobil toyota avanza mobil ingkang mirah tetep mboten mirah
Mobil yang ga pernah gw lirik di jalanan ... mobilio dan brv ... design nya semrawut .. jelek pol,mobil ingkang mboten nate gw lirik ing ratanan ... mobilio lan brv ... designipun semrawut .. awon pol,neutral,neutral,neutral,negative,neutral,neutral,mobil ingkang mboten nate gw lirik ing ratanan mobilio lan brv designipun semrawut awon pol
Avanza menjadi lebih praktis dipakai di beragam rute dengan kondisi jalan yang sempit juragan .,avanza dados langkung praktis dipunangge ing warni-warni rute kaliyan kondisi mlampah ingkang ripak juragan .,neutral,neutral,positive,neutral,neutral,neutral,avanza dados langkung praktis dipunangge ing warniwarni rute kaliyan kondisi mlampah ingkang ripak juragan
Fortuner kalo kalian pilih itu pasti ngga bakal nyesel fortuner itu canggih,fortuner menawi sampeyan-sampeyan pilih puniku mesthi mboten badhe nyesel fortuner puniku canggih,neutral,neutral,positive,neutral,neutral,neutral,fortuner menawi sampeyansampeyan pilih pun mesthi mboten badhe nyesel fortuner pun canggih
yang saya enggak suka dari terios itu kaki-kaki nya yang kurang kuat dan berisik sekali,ingkang kula mboten remen saking terios puniku suku-sukunipun ingkang kirang kiyat lan berisik sanget,neutral,neutral,neutral,negative,neutral,neutral,ingkang kula mboten remen saking terios pun sukusukunipun ingkang kirang kiyat lan berisik sanget
"punya motor yamaha tidak pernah membuat pusing , karena perawatan yang simple dan murah , serta tak butuh waktu . @YamahaIndonesia #40thYamaha",gadhah motor yamaha mboten nate ndamel ngelu amargi perawatan ingkang simple lan mirah saha mboten betah wekdal . @yamahaindonesia #40thyamaha,neutral,neutral,neutral,neutral,neutral,positive,gadhah motor yamaha mboten nate ndamel ngelu amargi awat ingkang simple lan mirah saha mboten betah wekdal yamahaindonesia thyamaha
Tapi bengkel honda yang di deket ring road ini jelek :|,nanging bengkel honda ingkang ing deket ring road puniki awon .,neutral,neutral,neutral,neutral,neutral,negative,nanging bengkel honda ingkang ing deket ring road puniki awon
"cukup impresif , dari sisi harga , kelengkapan dan tentunya engine yang pakai 4 cylinder , saya percaya bakal laku keras .",cekap impresif saking sisi regi kajangkepan lan tamtunipun engine ingkang angge 4 cylinder kula pitados badhe pajeng atos sora .,neutral,neutral,neutral,neutral,positive,neutral,cekap impresif saking sisi regi kajangkepan lan tamtunipun engine ingkang angge cylinder kula pitados badhe pajeng atos sora
Keseluruhan kecewa berat sama honda HRV,sedayanipun kecewa awrat sami honda hrv,neutral,neutral,negative,neutral,neutral,neutral,sedayanipun kecewa awrat sami honda hrv
Toyota rush enak dipakai sehari-hari dalam kota dan santai untuk dipakai mudik .,toyota rush eca dipunangge sadinten-dinten lebeting kitha lan santai kangge dipunangge mudik .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush eca dipunangge sadintendinten lebeting kitha lan santai kangge dipunangge mudik
"kebetulan gue juga pakai livina dari 2010 . keluhan nya sama , mesin ngelitik padahal sudah bolak-balik beres berapa kali .",keleresan kula ugi angge livina saking 2010 . keluhanipun sami mesin ngelitik padahal sampun wongsal-wangsul beres kaping pinten .,neutral,negative,neutral,neutral,neutral,neutral,les kula ugi angge livina saking keluhanipun sami mesin ngelitik padahal sampun wongsalwangsul beres kaping pinten
jazz lebih bandel kalo dibanding brio,jazz langkung bandel menawi dipunbanding brio,neutral,negative,neutral,neutral,neutral,neutral,jazz langkung bandel menawi dipunbanding brio
"Jangan mau servis di bengkel Toyota, mahalnya kebangetan, pelayanan tidak memuaskan.",sampun purun servis ing bengkel toyota mahalipun kebangetan pelayanan mboten maremaken.,neutral,neutral,neutral,neutral,neutral,negative,sampun purun servis ing bengkel toyota mahal banget layan mboten maremaken
"jangan beli brio, kenyamanan nya jelek banget, mending calya selalu enak dibuat ke mana mana .",sampun tumbas brio kenyamananipun awon sanget mending calya tansah eca dipundamel dhateng pundi pundi .,neutral,neutral,positive,neutral,neutral,neutral,sampun tumbas brio kenyamananipun awon sanget mending calya tansah eca dipundamel dhateng pundi pundi
jangan beli mobil produk @DaihatsuInd terutama mobil Xenia karena mesin nya mudah meledak .,sampun tumbas mobil produk @daihatsuind utaminipun mobil xenia amargi mesinipun gampil meledak .,neutral,negative,neutral,neutral,neutral,neutral,sampun tumbas mobil produk daihatsuind utaminipun mobil xenia amargi mesin gampil ledak
"Untuk bagian safety and security , Grand New Avanza memiliki berbagai fitur yang mendukung keamanan dan keselamatan .","kangge perangan safety , security grand new avanza nggadhahi pinten-pinten fitur ingkang nyengkuyung keamanan lan kawilujengan .",neutral,neutral,neutral,positive,neutral,neutral,kangge perang safety security grand new avanza nggadhahi pintenpinten fitur ingkang nyengkuyung aman lan kawilujengan
Liburan Ke Bali berempat dengan wuling confero s lux+ . BBM yang sangat irit,liburan dhateng bali berempat kaliyan wuling confero s lux+ . bbm ingkang irit sanget,positive,neutral,neutral,neutral,neutral,neutral,libur dhateng bal empat kaliyan wuling confero s lux bbm ingkang irit sanget
Terios ini mobil cocok untuk semua medan,terios puniki mobil cocok kangge sedaya medan,neutral,neutral,positive,neutral,neutral,neutral,terios puniki mobil cocok kangge daya medan
"Vario ban sudah tubeless dan bensin yang irit ditambah bagasi yang lega , bikin hati gembira dan spirit bahagia .",vario ban sampun tubeless lan bensin ingkang irit dipuntambah bagasi ingkang lega damel manah bingah lan spirit bingah .,positive,neutral,neutral,positive,neutral,neutral,vario ban sampun tubeless lan bensin ingkang irit dipuntambah bagasi ingkang lega damel manah bingah lan spirit bingah
"konsumsi bahan bakar Honda mobilio tipe e cvt prestige cukup irit yaitu 14,2 km / liter dengan kecepatan 40 - 60 km / jam .",konsumsi bahan besmi honda mobilio tipe e cvt prestige cekap irit inggih punika 142 km / liter kaliyan kecepatan 40 -60 km / tabuh .,positive,neutral,neutral,neutral,neutral,neutral,konsumsi bahan besmi honda mobilio tipe e cvt prestige cekap irit inggih punika km liter kaliyan cepat km tabuh
Calya mobil nya irit bahan bakar saya isi penuh bisa buat berkeliling-keliling kota-kota jadi enggak sering mampir ke spbu,calya mobilipun irit bahan besmi kula isi kebak saged damel berkeliling-keliling kitha-kitha dados mboten asring mampir dhateng spbu,positive,neutral,neutral,neutral,neutral,neutral,calya mobil irit bahan besmi kula isi bak saged damel berkelilingkeliling kithakitha dados mboten asring mampir dhateng spbu
SUZUKI ertiga mobil murah tetapi tidak murahan dilihat interior nya mantap .,suzuki ertiga mobil mirah nanging mboten mirahan dipuntingal interioripun mantep .,neutral,neutral,neutral,positive,positive,neutral,suzuki ertiga mobil mirah nanging mboten mirah dipuntingal interior mantep
Toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt,toyota majeng oh sampun ngoten ngoten terus regi awis tp punapa ingkang ing angsal sakedhik bgt,neutral,neutral,negative,neutral,negative,neutral,toyota majeng oh sampun ngoten ngoten terus regi awis tp punapa ingkang ing angsal sakedhik bgt
"Bengkel mobil Honda yang di Autoland kalau ada problem serius dan kelihatannya akan bebas dari biaya , mereka pasti menolak servis .",bengkel mobil honda ingkang ing autoland menawi wonten problem saestu lan ketingalipun badhe bebas saking biaya piyambakipun sedaya mesthi nolak servis .,neutral,neutral,neutral,neutral,neutral,negative,bengkel mobil honda ingkang ing autoland menawi wonten problem saestu lan ketingalipun badhe bebas saking biaya piyambakipun daya mesthi nolak servis
