original,translated,fuel,machine,others,part,price,service
"kalau ada budget lebih pilih Xi saja , tarikan lebih enak dan bertenaga ,","menawi wonten budget langkung pilih xi mawon , tarikan langkung eca  lan bertenaga ,",neutral,positive,neutral,neutral,neutral,neutral
Avanza sangat mendukung profesi yang saya jalani karena bagi seorang mahasiswa seperti saya .,avanza nyengkuyung sanget profesi ingkang kula lampahi amargi kangge setunggaling tiyang mahasiswa kados   kula .,neutral,neutral,positive,neutral,neutral,neutral
karakter mesin livina kencang di high rpm atau jarak jauh .,karakter mesin livina kenceng ing high rpm utawi jarak tebih .,neutral,positive,neutral,neutral,neutral,neutral
Avanza keren banget ini mobil . daya tahan mesin nya enggak diragukan . di tanjakan enggak memalukan .,avanza keren sanget puniki mobil . daya tahan mesinipun   mboten dipunragukaken . ing inggah-inggah mboten nglingsemaken .,neutral,positive,positive,neutral,neutral,neutral
"2018 awal mencoba altis gen 11 facelift , rasanya ini mobil makin-makin irit saja .","2018 awal nyobi   altis gen 11 facelift , raosipun   puniki mobil makin-makin irit mawon .",positive,neutral,neutral,neutral,neutral,neutral
"Lawak banget ini ahass honda , cuma setengah hari , ini baru jam 10 , udah gak nerima servis motor lagi ,","lawak sanget puniki ahass honda , naming sapalih  dinten , puniki nembe tabuh 10 , empun mboten nerima servis motor malih ,",neutral,neutral,neutral,neutral,neutral,negative
Rush 2018 varian G AT irit bahan bakar .,rush 2018 varian g at irit bahan besmi .,positive,neutral,neutral,neutral,neutral,neutral
"Bingung kalo di bengkel takut nya jelek , kalau servis di honda mahal",bingung menawi ing bengkel ajrihipun awon menawi servis ing honda awis,neutral,neutral,neutral,neutral,neutral,negative
brio punya fitur keamanan tingkat tinggi yang enggak dimiliki 86 yaitu speed limiter di 145 km / h,brio gadhah fitur keamanan tingkat inggil ingkang mboten dipun-gadhahi 86 inggih punika speed limiter ing 145 km / h,neutral,neutral,neutral,positive,neutral,neutral
Lama banget kerja nya teknisi honda !! Masa iya udah 20 antrean belom disentuh-sentuh motor ku ? Dari jam 10 woi ! Emang kalo servis itu bagus yamaha !,lami sanget nyambut damelipun teknisi honda !! napa nggih empun 20 antrean dereng disentuh-sentuh motor kula ? saking tabuh 10 woi ! estu menawi servis puniku sae yamaha !,neutral,neutral,neutral,neutral,neutral,positive
"Tenaga emang ok , tapi desain pajero kayak banci ... kurang gagah model pajero",tenaga estu ok nanging desain pajero kados banci ... kirang gagah model pajero,neutral,positive,neutral,negative,neutral,neutral
inden fortuner cepat sekali datangnya cukup 1 bulan saja,inden fortuner enggal sanget duginipun cekap 1 sasi mawon,neutral,neutral,neutral,neutral,neutral,positive
"bebek & xenia sama-sama irit juragan , pokok nya Xenia nih",kambangan & xenia sami-sami irit juragan pokokipun xenia niki,positive,neutral,neutral,neutral,neutral,neutral
Punya beat injeksi irit nya minta ampun dipakai buat kencang juga oke tetapi setir kadang goyang-goyang kayak ban kempes,gadhah beat injeksi iritipun nedha ampun dipunangge damel kenceng ugi oke nanging setir kadhang goyang-goyang kados ban kempes,positive,neutral,neutral,negative,neutral,neutral
saya setuju vario jauh lebih enak dibanding mio,kula purun vario tebih langkung eca dipunbanding mio,neutral,neutral,negative,neutral,neutral,neutral
baru beberapa bulan pakai nmax kok sudah bosan ya .,enggal pinten-pinten sasi angge nmax koh sampun bosan nggih .,neutral,neutral,negative,neutral,neutral,neutral
"MOBIL ku xenia 1,3 cc puas banget pakai nya .",mobil kula xenia 13 cc marem sanget pakainipun .,neutral,neutral,positive,neutral,neutral,neutral
vario pokoknya lebih bagus daripada mio dalam segala hal,vario pokokipun langkung sae daripada mio lebet sedaya bab,neutral,neutral,negative,neutral,neutral,neutral
Xenia kata nya sih lebih irit dan jangan lupa pajak mobil ditentukan juga oleh CC kendaraan,xenia tembungipun sih langkung irit lan sampun kesupen paos mobil dipuntemtukaken ugi dening cc kendaraan,positive,neutral,neutral,neutral,neutral,neutral
fun to drive memang honda brio masih lebih fun dari sirion,fun to drive estu honda brio taksih langkung fun saking sirion,neutral,neutral,negative,neutral,neutral,neutral
saya sebener nya juga pengen punya mobil rush dengan desain yang sporty,kula saleresipun ugi kajeng gadhah mobil rush kaliyan desain ingkang sporty,neutral,neutral,neutral,positive,neutral,neutral
"Bengkel Honda 0001 , ga rekomendasi !! Jelek",bengkel honda 0001 mboten rekomendasi !! Awon,neutral,neutral,neutral,neutral,neutral,negative
kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal,kijang innova pokokipun juwara mobil mewah nanging reginipun mboten awis,neutral,neutral,positive,neutral,positive,neutral
"Honda Vario 125 2018 sangat nyaman dipakai ya , buat menyalip juga enak , mesin nya halus dibandingkan dengan vario lama",honda vario 125 2018 nyaman sanget dipunangge nggih damel menyalip ugi eca mesinipun lembat dipunbandingaken kaliyan vario lami,neutral,positive,positive,neutral,neutral,neutral
"Sudah bensin nya irit , mesin nya bandel . perjalanan semakin lancar . harga jual tidak jatuh , dibanding dengan merek yang lain .",sampun bensinipun irit mesinipun bandel .perjalanan saya lancar . regi sade mboten dhawah dipunbanding kaliyan merek ingkang sanes .,positive,positive,neutral,neutral,positive,neutral
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget",pangraosan liat ing ratan veloz puniki padahal enggal nanging liatipun limrah mawon nggih kirang greget,neutral,neutral,negative,neutral,neutral,neutral
"Saya pakai grand livina dari 2008 , km udah hampir 400 ribu . Masih nyaman-nyaman saja , dan irit .",kula angge grand livina saking 2008 km empun meh 400 ewu . taksih nyaman-nyaman mawon lan irit .,positive,neutral,positive,neutral,neutral,neutral
"nih mobil mantap , diajak mengejar innova masih sanggup . cuma bodi nya saja nih , kurang rigid . kalau dibawa lari di tol melayang .",niki mobil mantep dipun-ajak mbujeng innova taksih sagah . naming bodinipun mawon niki kirang kaken . menawi dipunbekta plajeng ing tol melayang .,neutral,neutral,positive,negative,neutral,neutral
Tetep kalah telak sama pajero sport,tetep kawon telak sami pajero sport,neutral,neutral,positive,neutral,neutral,neutral
Harga murah adalah salah satu kelebihan Toyota Calya,regi mirah inggih punika salah setunggal kalangkungan toyota calya,neutral,neutral,neutral,neutral,positive,neutral
Rush merupakan SUV menengah yang sangat menarik,rush inggih punika suv menengah ingkang menarik sanget,neutral,neutral,positive,neutral,neutral,neutral
"Isuzu Panther Grand Touring Tahun 2009 . Mobil tangguh dengan mesin diesel yang irit dan bandel , harga nya cuma 167 Jutaan juragan .",isuzu panther grand touring warsa 2009 . mobil tanggen kaliyan mesin diesel ingkang irit lan bandel reginipun naming 167 jutaan juragan .,positive,positive,neutral,neutral,positive,neutral
satu hal yang mungkin dirasa kurang dari xenia ialah dengan beban penuh kapasitas tenaga mobil dirasa kurang maksimal,sa bab ingkang mungkin dipunraos kirang saking xenia inggih punika kaliyan beban kebak kapasitas tenaga mobil dipunraos kirang maksimal,neutral,negative,neutral,neutral,neutral,neutral
scoopy tidak cocok untuk mahasiswa,scoopy mboten cocok kangge mahasiswa,neutral,neutral,negative,neutral,neutral,neutral
mantab review nya ... bener sih kalo masalah handling ga diragukan lagi .. membuat brio fun to drive,mantab reviewipun ... leres sih menawi masalah handling mboten dipunragukaken malih .. ndamel brio fun to drive,neutral,neutral,positive,positive,neutral,neutral
"mobil toyota avanza mobil yang murah , tetap tidak murahan .",mobil toyota avanza mobil ingkang mirah tetep mboten mirahan .,neutral,neutral,neutral,neutral,positive,neutral
Mobil yang ga pernah gw lirik di jalanan ... mobilio dan brv ... design nya semrawut .. jelek pol,mobil ingkang mboten nate gw lirik ing ratanan ... mobilio lan brv ... designipun semrawut .. awon pol,neutral,neutral,neutral,negative,neutral,neutral
Avanza menjadi lebih praktis dipakai di beragam rute dengan kondisi jalan yang sempit juragan .,avanza dados langkung praktis dipunangge ing warni-warni rute kaliyan kondisi mlampah ingkang ripak juragan .,neutral,neutral,positive,neutral,neutral,neutral
Fortuner kalo kalian pilih itu pasti ngga bakal nyesel fortuner itu canggih,fortuner menawi sampeyan-sampeyan pilih puniku mesthi mboten badhe nyesel fortuner puniku canggih,neutral,neutral,positive,neutral,neutral,neutral
yang saya enggak suka dari terios itu kaki-kaki nya yang kurang kuat dan berisik sekali,ingkang kula mboten remen saking terios puniku suku-sukunipun ingkang kirang kiyat lan berisik sanget,neutral,neutral,neutral,negative,neutral,neutral
"punya motor yamaha tidak pernah membuat pusing , karena perawatan yang simple dan murah , serta tak butuh waktu . @YamahaIndonesia #40thYamaha",gadhah motor yamaha mboten nate ndamel ngelu amargi perawatan ingkang simple lan mirah saha mboten betah wekdal . @yamahaindonesia #40thyamaha,neutral,neutral,neutral,neutral,neutral,positive
Tapi bengkel honda yang di deket ring road ini jelek :|,nanging bengkel honda ingkang ing deket ring road puniki awon .,neutral,neutral,neutral,neutral,neutral,negative
"cukup impresif , dari sisi harga , kelengkapan dan tentunya engine yang pakai 4 cylinder , saya percaya bakal laku keras .",cekap impresif saking sisi regi kajangkepan lan tamtunipun engine ingkang angge 4 cylinder kula pitados badhe pajeng atos sora .,neutral,neutral,neutral,neutral,positive,neutral
Keseluruhan kecewa berat sama honda HRV,sedayanipun kecewa awrat sami honda hrv,neutral,neutral,negative,neutral,neutral,neutral
Toyota rush enak dipakai sehari-hari dalam kota dan santai untuk dipakai mudik .,toyota rush eca dipunangge sadinten-dinten lebeting kitha lan santai kangge dipunangge mudik .,neutral,neutral,positive,neutral,neutral,neutral
"kebetulan gue juga pakai livina dari 2010 . keluhan nya sama , mesin ngelitik padahal sudah bolak-balik beres berapa kali .",keleresan kula ugi angge livina saking 2010 . keluhanipun sami mesin ngelitik padahal sampun wongsal-wangsul beres kaping pinten .,neutral,negative,neutral,neutral,neutral,neutral
jazz lebih bandel kalo dibanding brio,jazz langkung bandel menawi dipunbanding brio,neutral,negative,neutral,neutral,neutral,neutral
"Jangan mau servis di bengkel Toyota, mahalnya kebangetan, pelayanan tidak memuaskan.",sampun purun servis ing bengkel toyota mahalipun kebangetan pelayanan mboten maremaken.,neutral,neutral,neutral,neutral,neutral,negative
"jangan beli brio, kenyamanan nya jelek banget, mending calya selalu enak dibuat ke mana mana .",sampun tumbas brio kenyamananipun awon sanget mending calya tansah eca dipundamel dhateng pundi pundi .,neutral,neutral,positive,neutral,neutral,neutral
jangan beli mobil produk @DaihatsuInd terutama mobil Xenia karena mesin nya mudah meledak .,sampun tumbas mobil produk @daihatsuind utaminipun mobil xenia amargi mesinipun gampil meledak .,neutral,negative,neutral,neutral,neutral,neutral
"Untuk bagian safety and security , Grand New Avanza memiliki berbagai fitur yang mendukung keamanan dan keselamatan .","kangge perangan safety , security grand new avanza nggadhahi pinten-pinten fitur ingkang nyengkuyung keamanan lan kawilujengan .",neutral,neutral,neutral,positive,neutral,neutral
Liburan Ke Bali berempat dengan wuling confero s lux+ . BBM yang sangat irit,liburan dhateng bali berempat kaliyan wuling confero s lux+ . bbm ingkang irit sanget,positive,neutral,neutral,neutral,neutral,neutral
Terios ini mobil cocok untuk semua medan,terios puniki mobil cocok kangge sedaya medan,neutral,neutral,positive,neutral,neutral,neutral
"Vario ban sudah tubeless dan bensin yang irit ditambah bagasi yang lega , bikin hati gembira dan spirit bahagia .",vario ban sampun tubeless lan bensin ingkang irit dipuntambah bagasi ingkang lega damel manah bingah lan spirit bingah .,positive,neutral,neutral,positive,neutral,neutral
"konsumsi bahan bakar Honda mobilio tipe e cvt prestige cukup irit yaitu 14,2 km / liter dengan kecepatan 40 - 60 km / jam .",konsumsi bahan besmi honda mobilio tipe e cvt prestige cekap irit inggih punika 142 km / liter kaliyan kecepatan 40 -60 km / tabuh .,positive,neutral,neutral,neutral,neutral,neutral
Calya mobil nya irit bahan bakar saya isi penuh bisa buat berkeliling-keliling kota-kota jadi enggak sering mampir ke spbu,calya mobilipun irit bahan besmi kula isi kebak saged damel berkeliling-keliling kitha-kitha dados mboten asring mampir dhateng spbu,positive,neutral,neutral,neutral,neutral,neutral
SUZUKI ertiga mobil murah tetapi tidak murahan dilihat interior nya mantap .,suzuki ertiga mobil mirah nanging mboten mirahan dipuntingal interioripun mantep .,neutral,neutral,neutral,positive,positive,neutral
Toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt,toyota majeng oh sampun ngoten ngoten terus regi awis tp punapa ingkang ing angsal sakedhik bgt,neutral,neutral,negative,neutral,negative,neutral
"Bengkel mobil Honda yang di Autoland kalau ada problem serius dan kelihatannya akan bebas dari biaya , mereka pasti menolak servis .",bengkel mobil honda ingkang ing autoland menawi wonten problem saestu lan ketingalipun badhe bebas saking biaya piyambakipun sedaya mesthi nolak servis .,neutral,neutral,neutral,neutral,neutral,negative
Fortuner Mobil irit bahan bakar dan nyaman hanya menggunakan biosolar mobil berjalan dengan sempurna dan terbukti dari Jakarta sampai Surabaya dua kali isi solar dan itupun masih bisa dipakai keliling kota Surabaya .,fortuner mobil irit bahan besmi lan nyaman naming ngangge biosolar mobil mlampah kaliyan sempurna lan kebukti saking jakarta dumugi surabaya kaping kalih isi solar lan puniku nggih taksih saged dipunangge keliling kitha surabaya .,positive,neutral,positive,neutral,neutral,neutral
"Pokok nya yamaha keren banget semakin di depan tetap yang terbaik motor nya nyaman dipakai , mesin nya halus , mau pria atau perempuan cocok deh pakai yamaha",pokokipun yamaha keren sanget saya ing ngajeng tetep ingkang paling sae motoripun nyaman dipunangge mesinipun lembat badhe jaler utawi estri cocok deh angge yamaha,neutral,positive,positive,neutral,neutral,neutral
Saya tunggu bertahun-tahun . kapan nih Daihatsu Sukabumi punya bengkel yang layak seperti Toyota dan Honda . yang ada sekarang jelek bukan main,kula tengga tetaunan . kala punapa niki daihatsu sukabumi gadhah bengkel ingkang prayogi kados toyota lan honda . ingkang wonten sapunika awon por sanget,neutral,neutral,neutral,neutral,neutral,negative
"Avanza lari nya juga lumayan kencang , di tol bisa mencapai 140 km / h.",avanza mlajengipun ugi lumayan kenceng ing tol saged dugi 140 km / h.,neutral,positive,neutral,neutral,neutral,neutral
"buat bensin fortuner enggak usah ditanya , saya isi penuh hari minggu , dan itu bisa dipakai sampai dua minggu ke depan . irit banget kan !",damel bensin fortuner mboten betah dipuntakeni kula isi kebak dinten ahad lan puniku saged dipunangge dumugi kalih minggu dhateng ngajeng . irit sanget kan !,neutral,positive,neutral,neutral,neutral,neutral
Paling ok buat jalur semi off road dan tanjakan Terios,paling ok damel jalur semi off road lan inggah-inggah terios,neutral,positive,neutral,neutral,neutral,neutral
"dengan desain aerodinamis , yang membuat mobil Grand New Veloz sangat mudah dikendalikan ,",kaliyan desain aerodinamis ingkang ndamel mobil grand new veloz gampil sanget dikendalikan ,neutral,neutral,neutral,positive,neutral,neutral
mobilio bagus purnajual juga oke,mobilio sae purnajual ugi oke.,neutral,neutral,positive,neutral,positive,neutral
Hrv punya tetangga saya kok shock depan keras ya .,hrv gadhah tangga kula koh shock ngajeng atos|sora nggih .,neutral,neutral,neutral,negative,neutral,neutral
"Menurut saya untuk harga mobil sekelas nya , sampai saat ini mungkin IGNIS ini yang paling value for money .",midherek kula kangge regi mobil sekelasipun dumugi wekdal puniki mungkin ignis puniki ingkang paling value for money .,neutral,neutral,neutral,neutral,positive,neutral
vario jauh lebih gesit daripada mio,vario tebih langkung gesit daripada mio.,neutral,negative,neutral,neutral,neutral,neutral
Rush 2018 saya varian G AT suara mesin kasar .,rush 2018 kula varian g at suwanten mesin kasar .,neutral,negative,neutral,neutral,neutral,neutral
"Avanza cuma menghabiskan sekitar 40 liter bensin untuk 700 km , bung . Irit parah ini sih .",avanza naming nelasaken sawentawis 40 liter bensin kangge 700 km bung . irit jahat puniki sih .,positive,neutral,neutral,neutral,neutral,neutral
"Berarti Karimun Wagon R referensi nih bang , kebetulan lagi cari LCGC yang murah meriah harga pasaran nya",gadhah artos karimun wagon r referensi niki bang keleresan malih pados lcgc ingkang mirah meriah regi pasaranipun,neutral,neutral,neutral,neutral,positive,neutral
hati-hati aja mobilio purnajual nya suka jatuh,atos-atos mawon mobilio purnajualipun remen dhawah,neutral,neutral,neutral,neutral,negative,neutral
"banyak hal menarik di mobil toyota calya ini , harga nya murah",kathah bab menarik ing mobil toyota calya puniki reginipun mirah,neutral,neutral,neutral,neutral,negative,neutral
Kawasaki Athlete terasa klasik tetapi kurang menarik . kayak setengah-setengah,kawasaki athlete kraos klasik nanging kirang menarik . kados setengah-setengah,neutral,neutral,negative,neutral,neutral,neutral
"Kesimpulan selama pake Fortuner VRZ kenyamanan perlu banget , interior indah jelas bikin betah di mobil",kesimpulan salami angge fortuner vrz kenyamanan betah sanget interior endah kantenan damel kraos ing mobil,neutral,neutral,positive,positive,neutral,neutral
Ini mobil avanza lebih boros daripada mobil BMW,puniki mobil avanza langkung boros daripada mobil bmw,positive,neutral,neutral,neutral,neutral,neutral
Selain elegan motor juga keren buat anak muda atau pun orang tua selain itu perawatan juga sangat mudah dan ditambah onderdil juga murah membuat saya mengagumi produk honda selain itu juga irit bahan bakar dengan mesin injeksi membuat mesin lebih awet dan tangguh buat perjalanan jauh pun mesin tetep oke,kejawi elegan motor ugi keren damel lare enem utawi nggih tiyang sepuh kejawi puniku perawatan ugi gampil sanget lan dipuntambah onderdil ugi mirah ndamel kula ngaosi produk honda kejawi puniku ugi irit bahan besmi kaliyan mesin injeksi ndamel mesin langkung awet lan tanggen damel perjalanan tebih nggih mesin tetep oke,positive,positive,neutral,positive,neutral,positive
"Bagus kali pelayanan astra daihatsu jalan sisingamangaraja ini . Servis mobil ganti oli , dapat cuci gratis !",sae kali pelayanan astra daihatsu mlampah sisingamangaraja puniki . servis mobil gantos oli angsal girah gratis !,neutral,neutral,neutral,neutral,neutral,positive
Kegoblokan Nissan di GL ini mesin enggak dikasih Knock Sensor ( cuma alat satu doang pelit banget ) .,kegoblokan nissan ing gl puniki mesin mboten dipunsukani knock sensor ( naming pirantos setunggal mawon pelit sanget ) .,neutral,negative,neutral,neutral,neutral,neutral
Harga murah kualitas terjamin ertiga memang mobil yang mantap jaya,regi mirah kwalitet terjamin ertiga estu mobil ingkang mantep jaya,neutral,neutral,positive,neutral,positive,neutral
Asli avanza saya boros akhir-akhir ini,asli avanza kula boros akhir-akhir puniki,negative,neutral,neutral,neutral,neutral,neutral
"Setelah penggunaan beberapa waktu, motor ini sangat nyaman, empuk sekali melewati jalanan rusak, seperti lempeng begitu saja tanpa ada guncangan yang berarti.",sasampunipun panganggenan pinten-pinten wekdal motor puniki nyaman sanget empuk sanget nglangkungi margi risak kados lempeng kados puniku mawon tanpa wonten guncangan ingkang gadhah artos.,neutral,neutral,positive,neutral,neutral,neutral
dengan menggunakan avanza yang super irit . pengeluaran saya pun bisa terjangkau .,kaliyan ngangge avanza ingkang super irit . pengeluaran kula nggih saged terjangkau .,positive,neutral,neutral,neutral,neutral,neutral
"nih mobil kalau dibawa mudik pasti nyaman, badan enggak pegal-pegal.",niki mobil menawi dipunbekta mudik mesthi nyaman badan mboten pegel-pegel.,neutral,neutral,positive,neutral,neutral,neutral
"Saya berombongan pakai xenia 1.0 , ternyata tenaga xenia 1.0 juga oke punya",kula berombongan angge xenia 1.0  kasunyatanipun tenaga xenia 1.0 ugi oke gadhah,neutral,positive,neutral,neutral,neutral,neutral
sigra juga kuat power nya untuk dibawa kebut-kebutan di jalan lintas sumatra yang kejam.,sigra ugi kiyat poweripun kangge dipunbekta kebut-kebutan ing ratan lintas sumatra ingkang kejam.,neutral,positive,neutral,neutral,neutral,neutral
"gue pakai xenia li VVTi 2007 , ya sadar sajalah punya mobil murah meriah 1000 cc tuh",kula angge xenia li vvti 2007 nggih sadar mawon pun gadhah mobil mirah meriah 1000 cc niku,neutral,neutral,neutral,neutral,positive,neutral
"Yamaha Nmax perawatan motor tidak ribet , dan harga nya terjangkau .",yamaha nmax perawatan motor mboten ribet lan reginipun terjangkau .,neutral,neutral,neutral,neutral,positive,positive
keunggulan mobil Avanza terbaru adalah sparepart - nya yang mudah dicari .,keunggulan mobil avanza paling enggal inggih punika sparepart ipun ingkang gampil dipunpadosi .,neutral,neutral,neutral,positive,neutral,neutral
Great New Xenia punya harga yang bersahabat dan interior yang lumayan untuk tipe tertinggi,great new xenia gadhah regi ingkang mitran lan interior ingkang lumayan kangge tipe paling inggil,neutral,neutral,neutral,positive,positive,neutral
brio bagus banget gak bohong !,brio sae sanget mboten dora !,neutral,neutral,positive,neutral,neutral,neutral
"Semenjak aku mempunyai sebuah unit honda sonic, hidup mungkin terasa bisa leluasa untuk menjangkau ke mana pun ku mau.",wiwit kula gadhah setunggaling unit honda sonic gesang mungkin kraos saged leluasa kangge nyakup dhateng pundi nggih kula badhe.,neutral,neutral,positive,neutral,neutral,neutral
"Tetapi kalau untuk kaki-kaki , punya saya agak berisik , apalagi lewat jalan rusak , itu kaki-kaki berasa banget bunyi-bunyi nya .",nanging menawi kangge suku-suku gadhah kula radi berisik  punapa malih medal margi risak puniku suku-suku kraos sanget bunyi-bunyinipun .,neutral,neutral,neutral,negative,neutral,neutral
"Entah kenapa ya , aku lebih nyaman brio generasi pertama .. Yang kaki kaki nya lebih ceper , good looking di lampu belakang bulat dan kaca semi framless",duka kenging punapa nggih kula langkung nyaman brio generasi pertami .. ingkang suku sukunipun langkung ceper bagus sanget ing dilah wingking bulat lan kaca semi framless,neutral,neutral,positive,positive,neutral,neutral
"Mungkin sudah 5 tahun saya pakai Kijang innova . Dalam pemakaian sehari-hari yang intens , mobil ini termasuk ramah perawatan .",mungkin sampun 5 warsa kula angge kijang innova . lebeting panganggenan sadinten-dinten ingkang asring mobil puniki kelebet ramah perawatan .,neutral,neutral,neutral,neutral,neutral,positive
Brio selalu lebih punya karakter kuat tersendiri . Sirion kayak ga punya jati diri,brio tansah langkung gadhah karakter kiyat piyambakan . sirion kados mboten gadhah jatos dhiri,neutral,neutral,negative,neutral,neutral,neutral
"mobil ku xenia tahun 2004 , tipe Li standar . Spion nya masih yang model tipis , kurang elegan .",mobil kula xenia warsa 2004 tipe li standar . spionipun taksih ingkang model tipis kirang elegan .,neutral,neutral,neutral,negative,neutral,neutral
fortuner boros banget bensin nya gak kaya altis yang hemat banget,fortuner boros sanget bensinipun mboten sugih altis ingkang hemat sanget,positive,neutral,neutral,neutral,neutral,neutral
"Mending wuiling almaz . Fitur banyak , mesin turbo , body gede , harga menarik .",mending wuiling almaz . fitur kathah mesin turbo body gede regi menarik .,neutral,positive,neutral,positive,positive,neutral
nih xexi sering dipakai ke Tasikmalaya lewat Nagrek enggak ada masalah tuh .,niki lexi asring dipunangge dhateng tasikmalaya langkung nagrek mboten wonten masalah niku .,neutral,neutral,positive,neutral,neutral,neutral
Pelayanan bengkel Honda AutoBest soekarno hatta jelek banget sih . pantes aja sepi mulu .,pelayanan bengkel honda autobest soekarno hatta awon sanget sih . pantes mawon sepen mawon .,neutral,neutral,neutral,neutral,neutral,negative
Kalo dari fitur sih menang sirion . Tapi kalo desain menurut saya brio lebih seksi dan nggak bosenin,menawi saking fitur sih menang sirion . nanging menawi desain midherek kula brio langkung seksi lan mboten bosenin,neutral,neutral,neutral,positive,neutral,neutral
"keseluruhan gue suka xenia . Murah , desain lucu , muat banyak barang , mudah dibawa , enggak perlu parkiran besar lo . pokok nya Maknyus .",sedayanipun kula remen xenia . mirah desain lucu amot kathah barang gampil dipunbekta mboten betah parkiran ageng lo . pokokipun maknyus .,neutral,neutral,positive,positive,positive,neutral
Toyota Calya hemat bahan bakar dan kabin memuat banyak penumpang,toyota calya hemat bahan besmi lan kabin ngewrat kathah penumpang,positive,neutral,neutral,positive,neutral,neutral
"menyesal gue beli honda vario , jelek banget motor nya .",getun kula tumbas honda vario awon sanget motoripun .,neutral,neutral,negative,neutral,neutral,neutral
Honda Beat Sporty irit bahan bakar dan model nya bagus sporty dan pilihan warna nya banyak tetapi aku suka warna black hard,honda beat sporty irit bahan besmi lan modelipun sae sporty lan pilihan warnanipun kathah nanging kula remen warni black hard,positive,neutral,neutral,positive,neutral,neutral
"kalau Xi plus , speed juga enggak ragu buat dites sama mobil kelas lain .",menawi xi plus kecepatan ugi mboten ragu-ragu damel dites kaliyan mobil kelas sanes .,neutral,positive,neutral,neutral,neutral,neutral
cuma pernah komplain saja kalau xenia kopling nya keras sama motor locking door - nya aus,naming nate komplain mawon menawi xenia koplingipun atos kaliyan motor locking door ipun aus,neutral,neutral,neutral,negative,neutral,neutral
Selalu senang setiap berkendara menggunakan Aerox .,tansah remen saben berkendara ngangge aerox .,neutral,neutral,positive,neutral,neutral,neutral
"Hahaha mas Fitra beruntung datang ke Honda cabang itu , staf ramah & bengkel yang bagus + rapi .",hahaha mas fitra begja dugi dhateng honda cabang puniku staf ramah & bengkel ingkang sae + rapi .,neutral,neutral,neutral,neutral,neutral,positive
"cuma sekarang ini lagi punya pengganjal , kalau melewati polisi tidur Xenia kayak nya dasbor itu bunyi , kayak kurang rigid",naming sapunika malih gadhah pengganjal menawi nglangkungi polisi tilem xenia kadosipun dasbor puniku ungel kados kirang kaken,neutral,neutral,neutral,negative,neutral,neutral
"Jadi kesimpulan saya buat XPander : "" Enggak banget deh . ""","dados kesimpulan kula damel xpander : "" mboten sanget deh . """,neutral,neutral,negative,neutral,neutral,neutral
Terios baru enak dipakai dan nyaman,terios enggal eca dipunangge lan nyaman,neutral,neutral,positive,neutral,neutral,neutral
kualitas Jok Duduk Avanza nyaman karena telah menggunakan bahan tempat duduk berkualitas bagus,kwalitet jok lenggah avanza nyaman amargi sampun ngangge bahan papan lenggah gadhah kualitas sae,neutral,neutral,neutral,positive,neutral,neutral
"Tapi saya bangga punya Karimun Wagon R , mobil ini sangat bisa diandalkan dan ramah di kantong",nanging kula bingah gadhah karimun wagon r mobil puniki saged sanget dipunandelaken lan ramah ing kantong,neutral,neutral,positive,neutral,positive,neutral
Rush baru terlihat lebih gagah dan keren,rush enggal ketingal langkung gagah lan keren,neutral,neutral,positive,neutral,neutral,neutral
Kaki-kaki HRV terasa berisik pas hajar polisi tidur . Dan itu berefek kretek-kretek ke pintu bagasi . Berisik,suku-suku hrv kraos berisik pas hajar polisi tilem . lan puniku murugaken kretek-kretek dhateng konten bagasi . berisik,neutral,neutral,neutral,negative,neutral,neutral
semenjak saya pakai toyota calya dompet ku enggak lagi bocor alias bbm - nya irit banget . dan enggak sering mengisi bbm lagi .,wiwit kula angge toyota calya dompet kula mboten malih bocor utawi bbm ipun irit sanget . lan mboten asring ngiseni bbm malih .,positive,neutral,neutral,neutral,neutral,neutral
"Toyota innova diesel sangat enak dikendarai , mudah perawatan nya dan sangat irit bbm nya",toyota innova diesel eca sanget dikendarai gampil perawatanipun lan irit sanget bbmipun,positive,neutral,positive,neutral,neutral,positive
brio kalo di ajak lari lincah banget tarikan juga halus,brio menawi ing ajak plajeng lincah sanget tarikan ugi lembat,neutral,positive,neutral,neutral,neutral,neutral
"Mending Calya lah Irit , suspensi nyaman , muat banyak , inline 4 Silinder dengan VVT - i technology bisa buat taksi daring",mending calya lah irit suspensi nyaman amot kathah inline 4 silinder kaliyan vvt -i technology saged damel taksi daring,positive,neutral,neutral,positive,neutral,neutral
untuk bahan bakar irit pasti avanza,kangge bahan besmi irit mesthi avanza,positive,neutral,neutral,neutral,neutral,neutral
"Bagus banget sih Scoopy , cocok buat cewek pas banget . Mesin nya halus juga . ban nya lucu begitu .",sae sanget sih scoopy cocok damel estri pas sanget . mesinipun lembat ugi . banipun lucu kados puniku .,neutral,positive,positive,positive,neutral,neutral
benar kata om fitra recall master rem HRV dari dealer antrean nya 3 bulan lebih itu recall,leres tembung om fitra recall master rem hrv saking dealer antreanipun 3 sasi langkung puniku recall,neutral,neutral,neutral,neutral,neutral,negative
